Proposal,Observation,Instrument,Filter,Moving,Polygon,Exp Start,Exp End,Asteroids
1282,jw01282-o082_t064_miri_f1280w,MIRI,F1280W,No,Polygon 167.44247629099985 -77.59440424399992 167.50423833600016 -77.62286376000026 167.37005151099996 -77.63622949099992 167.30852748399974 -77.60773975800015,2023-08-07 08:32:45.133,2023-08-07 08:55:16.589,
1282,jw01282-o100_t053_miri_f1280w,MIRI,F1280W,No,Polygon 166.84653403400017 -77.54158661199972 166.9119196400001 -77.57005456599994 166.77723699399996 -77.58437329499989 166.71208085000018 -77.55587309999993,2023-08-05 03:13:11.289,2023-08-05 04:38:50.689,
1282,jw01282-o106_t011_miri_f1280w,MIRI,F1280W,No,Polygon 76.99062876500025 30.408404883 76.95391776200022 30.405455166 76.95043412300028 30.437637682000016 76.98715713099992 30.440588373000015,2023-10-15 23:55:42.660,2023-10-16 00:59:29.551,
1282,jw01282-o123_t035_miri_f1280w,MIRI,F1280W,No,Polygon 167.4167413039997 -77.59385730300015 167.4791323489997 -77.62266159799982 167.34229154800008 -77.63626553500016 167.2801464249999 -77.6074301140001,2023-08-07 09:22:39.434,2023-08-07 10:47:59.527,
1282,jw01282-o124_t066_miri_f1280w,MIRI,F1280W,No,Polygon 167.84064990099972 -76.3128434620001 167.90187310300007 -76.34111901599978 167.7799458840001 -76.35582885400008 167.7189056180003 -76.32752345800013,2023-08-05 05:11:04.926,2023-08-05 06:36:55.546,
1283,jw01283-c1000_t001_miri_f560w,MIRI,F560W,No,Polygon 53.14004764399997 -27.794682059999992 53.157777483999986 -27.76229621200002 53.19482168800001 -27.778163516000028 53.17710029599999 -27.810554091000014,2022-12-02 11:57:26.247,2022-12-03 14:44:52.225,
1283,jw01283-c1001_t001_miri_f560w,MIRI,F560W,No,Polygon 53.14004764399997 -27.794682059999992 53.157777483999986 -27.76229621200002 53.19482168800001 -27.778163516000028 53.17710029599999 -27.810554091000014,2022-12-02 11:57:26.247,2022-12-03 14:44:52.225,
1283,jw01283-c1002_t001_miri_f560w,MIRI,F560W,No,Polygon 53.14004764399997 -27.794682059999992 53.157777483999986 -27.76229621200002 53.19482168800001 -27.778163516000028 53.17710029599999 -27.810554091000014,2022-12-02 11:57:26.247,2022-12-03 14:44:52.225,
1283,jw01283-o001_t001_miri_f560w,MIRI,F560W,No,Polygon 53.140738934999995 -27.795350640999978 53.159393226999974 -27.764103778000013 53.19375754699998 -27.780155467999986 53.17511037900001 -27.811406945000027,2022-12-05 14:14:06.973,2022-12-05 22:13:53.074,
1283,jw01283-o002_t001_miri_f560w,MIRI,F560W,No,Polygon 53.141334764000014 -27.794752616999975 53.15995625499998 -27.763560204000026 53.195336737999995 -27.780086258000004 53.17672256900003 -27.811283413,2022-12-06 17:45:21.412,2022-12-07 01:44:56.442,
1283,jw01283-o004_t001_miri_f560w,MIRI,F560W,No,Polygon 53.148816826999976 -27.786467776999974 53.17217778799998 -27.75887686900002 53.202835433000004 -27.779189803 53.179477887000004 -27.806785866000013,2022-12-20 06:26:09.047,2022-12-20 14:25:55.148,
1283,jw01283-o005_t001_miri_f560w,MIRI,F560W,No,Polygon 53.14172862000002 -27.795402437000014 53.158851170000005 -27.76412556299998 53.19357656399999 -27.778999583000008 53.17646166299999 -27.81028073699999,2022-12-02 11:57:26.247,2022-12-02 22:00:11.460,
1283,jw01283-o006_t001_miri_f560w,MIRI,F560W,No,Polygon 53.140299256 -27.794222696000002 53.157785786000005 -27.762280348999973 53.19483012900001 -27.77814732499998 53.177351933 -27.81009433299998,2022-12-03 04:40:24.357,2022-12-03 14:44:52.225,
1283,jw01283-o007_t001_miri_f1000w,MIRI,F1000W,No,Polygon 53.13998030600001 -27.793966329000025 53.15874146299998 -27.76231680099998 53.19587221999998 -27.779538052000014 53.17711890200002 -27.811192594000026,2023-12-06 23:20:10.099,2023-12-07 08:08:18.918,
1284,jw01284-o005_t003_miri_f770w,MIRI,F770W,No,Polygon 150.39027666099977 1.9222155630000006 150.4195946669998 1.9098773310000021 150.40703421900014 1.880064702999999 150.37771662999992 1.8924027219999981,2023-04-19 16:05:30.097,2023-04-19 22:41:11.022,
1284,jw01284-o006_t004_miri_f560w,MIRI,F560W,No,Polygon 150.40209762000015 1.9301755239999983 150.4321828990001 1.9175153720000009 150.41943188400018 1.887248362999998 150.38934704099992 1.8999082919999977,2023-04-30 00:43:21.778,2023-04-30 01:32:26.144,
1288,jw01288-o002_t010_miri_f1130w,MIRI,F1130W,No,Polygon 83.80816426000017 -5.432764663999997 83.83775433400024 -5.420161393999999 83.85289924500015 -5.455396495000001 83.82330775300001 -5.468000503000001,2023-01-30 22:42:47.445,2023-01-31 01:10:36.679,
1288,jw01288-o002_t010_miri_f1500w,MIRI,F1500W,No,Polygon 83.808166718 -5.432781454999997 83.83775677400003 -5.420178150000001 83.85290172799985 -5.455413227999999 83.82331025500014 -5.468017272000004,2023-01-31 01:16:12.492,2023-01-31 03:43:33.950,
1288,jw01288-o002_t010_miri_f770w,MIRI,F770W,No,Polygon 83.80818155799996 -5.432761319000002 83.83777153199998 -5.420157804000001 83.85291673699999 -5.455392783999998 83.8233253470001 -5.467997037,2023-01-30 20:09:58.493,2023-01-30 22:36:27.280,
1288,jw01288-o012_t013_miri_f1130w,MIRI,F1130W,No,Polygon 81.80474228200002 -5.549531021000002 81.834194453 -5.538296903999999 81.84559333399983 -5.567898598000003 81.81613989899995 -5.579133279,2023-01-31 04:34:21.056,2023-01-31 04:47:40.282,
1288,jw01288-o012_t013_miri_f1500w,MIRI,F1500W,No,Polygon 81.80445636499987 -5.549557152999999 81.8341686439998 -5.538223769000002 81.84560081000014 -5.567911743999998 81.81588725300007 -5.5792457,2023-01-31 04:53:13.279,2023-01-31 05:06:29.753,
1288,jw01288-o012_t013_miri_f770w,MIRI,F770W,No,Polygon 81.80474787300011 -5.549500395000003 81.83419997400011 -5.538266099999999 81.8456101130001 -5.567896492999999 81.81615674699982 -5.579131352999999,2023-01-31 04:14:38.849,2023-01-31 04:28:09.147,
1288,jw01288-o015_t012_miri_f1130w-sub128,MIRI,F1130W,No,Polygon 83.84018709599981 -5.423976829999997 83.82867722099999 -5.423333650000002 83.82934573099983 -5.411479143999998 83.84085538099973 -5.412122311999998,2022-09-18 16:49:56.156,2022-09-18 20:28:10.002,
1288,jw01288-o015_t012_miri_f770w-sub128,MIRI,F770W,No,Polygon 83.84016918199994 -5.423971271999999 83.82865930599974 -5.423328112000001 83.82932779500011 -5.411473605000001 83.84083744599981 -5.412116752999999,2022-09-18 16:36:44.732,2022-09-18 20:14:50.067,
1288,jw01288-o016_t012_miri_f1500w-sub128,MIRI,F1500W,No,Polygon 83.8405023910001 -5.423636391999998 83.82897441800016 -5.423654595000001 83.8289556150001 -5.411781442999999 83.84048336099991 -5.411763240000001,2022-09-11 08:31:54.651,2022-09-11 12:19:16.465,
1288,jw01288-o016_t012_miri_f2550w-sub128,MIRI,F2550W,No,Polygon 83.84049651700012 -5.423642835999997 83.82896854400016 -5.4236610459999985 83.82894973299992 -5.4117878940000015 83.8404774800001 -5.411769684,2022-09-11 08:45:41.147,2022-09-11 12:33:03.664,
1288,jw01288-o017_t013_miri_f1500w-sub128,MIRI,F1500W,No,Polygon 81.83299348200006 -5.536668603000001 81.82857769300024 -5.536654948999999 81.82859133199986 -5.532290283000002 81.83300708800016 -5.532303936999997,2022-09-11 13:02:21.835,2022-09-11 13:09:14.926,
1288,jw01288-o017_t013_miri_f2550w-sub128,MIRI,F2550W,No,Polygon 81.83298763899995 -5.536674943000002 81.82857185000015 -5.5366612900000005 81.82858548799996 -5.532296623999998 81.83300124400026 -5.532310276999998,2022-09-11 13:16:14.923,2022-09-11 13:23:09.165,
1290,jw01290-o001_t007_miri_f1500w,MIRI,F1500W,No,Polygon 53.371133174000015 31.136503936000018 53.33550382900002 31.12794753500001 53.32546032099999 31.15856231200002 53.36110026800002 31.16712147699999,2023-09-21 14:53:23.253,2023-09-21 15:58:13.948,
1290,jw01290-o005_t004_miri_f1500w,MIRI,F1500W,No,Polygon 53.35158747599999 31.144469249000018 53.31596963 31.13586880700001 53.30587361799999 31.166471127999998 53.34150205099998 31.17507434699999,2023-09-21 20:06:47.367,2023-09-21 20:31:32.076,
1290,jw01290-o010_t011_miri_f1500w,MIRI,F1500W,No,Polygon 56.21606720300003 32.038300266999975 56.17986112500003 32.03047227399998 56.17058231099997 32.061283022000026 56.20679978800001 32.06911364999998,2023-09-22 01:23:56.276,2023-09-22 01:48:43.737,
